,ssuid,spanel,swave,srefmon,rhcalmn,rhcalyr,tfipsst,epppnum,esex,wpfinwgt,tage,eeducate,rmesr,birth_month,ECLWRK1,EDISABL,EDISPREV,EENO1,EENO2,EJBHRS1,EJBIND1,EOCCTIM1,EPDJBTHN,ERSEND1,ESTLEMP1,ESTLEMP2,RFNKIDS,TJBOCC1,TPMSUM1,TPYRATE1
0,19133717046,2004,1,1,11,2003,12,101,2,3573.2954,32,39,2,2003-12-01,1,2,-1,,-1.0,30,8680,72,1,-1,,-1.0,1,5000,1239,13.77
1,19133717046,2004,1,2,12,2003,12,101,2,3616.5061,32,39,2,2003-12-01,1,2,-1,,-1.0,30,8680,72,1,-1,,-1.0,1,5000,0,13.77
2,19133717046,2004,1,3,1,2004,12,101,2,3638.0986,32,39,2,2003-12-01,1,2,-1,,-1.0,30,8680,72,1,-1,,-1.0,2,5000,0,13.77
3,19133717046,2004,1,4,2,2004,12,101,2,3618.9512,32,39,2,2003-12-01,1,2,-1,,-1.0,30,8680,72,1,-1,,-1.0,2,5000,413,13.77
4,19228130714,2004,1,1,11,2003,12,101,2,2335.4619,31,39,1,2003-11-01,1,2,-1,,-1.0,32,7680,72,1,-1,,-1.0,8,3920,600,7.5
5,19228130714,2004,1,2,12,2003,12,101,2,2385.9763,31,39,1,2003-11-01,1,2,-1,,-1.0,32,7680,72,1,-1,,-1.0,8,3920,600,7.5
6,19228130714,2004,1,3,1,2004,12,101,2,2432.5122,31,39,1,2003-11-01,1,2,-1,,-1.0,32,7680,72,1,-1,,-1.0,8,3920,200,7.5
7,19228130714,2004,1,4,2,2004,12,101,2,2399.0198,31,39,1,2003-11-01,1,2,-1,,-1.0,32,7680,72,1,-1,,-1.0,8,3920,600,7.5
8,19228587629,2004,1,1,11,2003,12,102,2,3520.6147,29,43,1,2004-11-01,1,2,-1,,-1.0,40,8470,12,1,-1,,-1.0,1,2300,1083,0.0
9,19228587629,2004,1,2,12,2003,12,102,2,3556.5657,30,43,1,2004-11-01,1,2,-1,,-1.0,40,8470,12,1,-1,,-1.0,1,2300,1083,0.0
10,19228587629,2004,1,3,1,2004,12,102,2,3573.9368,30,43,1,2004-11-01,1,2,-1,,-1.0,40,8470,12,1,-1,,-1.0,1,2300,1083,0.0
11,19228587629,2004,1,4,2,2004,12,102,2,3529.665,30,43,1,2004-11-01,1,2,-1,,-1.0,40,8470,12,1,-1,,-1.0,1,2300,1083,0.0
12,19228796855,2004,1,1,11,2003,12,102,2,2871.5562,25,44,1,2006-01-01,1,2,-1,,1.0,40,7970,48,1,1,,1.0,0,5700,2500,0.0
13,19228796855,2004,1,2,12,2003,12,102,2,2750.9153,25,44,1,2006-01-01,1,2,-1,,1.0,40,7970,48,1,1,,1.0,0,5700,2500,0.0
14,19228796855,2004,1,3,1,2004,12,102,2,2656.9089,26,44,1,2006-01-01,1,2,-1,,1.0,40,7970,48,1,1,,1.0,0,5700,2500,0.0
15,19228796855,2004,1,4,2,2004,12,102,2,2703.9343,26,44,4,2006-01-01,1,2,-1,,1.0,40,7970,48,1,1,,1.0,0,5700,0,0.0
16,19344196686,2004,1,1,11,2003,12,102,2,3993.4458,36,39,3,2004-04-01,1,1,2,,-1.0,25,5380,180,1,-1,,-1.0,1,4720,200,10.0
17,19344196686,2004,1,2,12,2003,12,102,2,3969.4807,37,39,3,2004-04-01,1,1,2,,-1.0,25,5380,180,1,-1,,-1.0,1,4720,500,10.0
18,19344196686,2004,1,3,1,2004,12,102,2,3896.2437,37,39,3,2004-04-01,1,1,2,,-1.0,25,5380,180,1,-1,,-1.0,1,4720,400,10.0
19,19344196686,2004,1,4,2,2004,12,102,2,3933.897,37,39,3,2004-04-01,1,1,2,,-1.0,25,5380,180,1,-1,,-1.0,1,4720,300,10.0
20,19344451647,2004,1,1,11,2003,12,102,2,4554.1743,29,40,1,2004-11-01,1,2,-1,,-1.0,35,8680,48,1,-1,,-1.0,0,4110,1200,0.0
21,19344451647,2004,1,2,12,2003,12,102,2,4362.8428,29,40,1,2004-11-01,1,2,-1,,-1.0,35,8680,48,1,-1,,-1.0,0,4110,1200,0.0
22,19344451647,2004,1,3,1,2004,12,102,2,4213.7524,29,40,1,2004-11-01,1,2,-1,,-1.0,35,8680,48,1,-1,,-1.0,0,4110,1200,0.0
23,19344451647,2004,1,4,2,2004,12,102,2,4288.332,29,40,1,2004-11-01,1,2,-1,,-1.0,35,8680,48,1,-1,,-1.0,0,4110,1200,0.0
24,19344796930,2004,1,1,11,2003,12,103,2,5043.5615,41,44,8,2004-03-01,1,2,-1,,-1.0,40,9070,2,1,-1,,-1.0,2,4740,0,7.0
25,19344796930,2004,1,2,12,2003,12,103,2,5108.5649,41,44,8,2004-03-01,1,2,-1,,-1.0,40,9070,2,1,-1,,-1.0,2,4740,0,7.0
